layer,M,N,K,kind,scene,relative_l2,cosine,max_abs,pass
fc2,16,768,3072,fused_int4,R03,6.476888665929437e-05,7.450580596923828e-09,0.00390625,True
fc2,16,768,3072,fused_int4,R04,0.00013627723092213273,1.1175870895385742e-08,0.00390625,True
fc2,64,768,3072,bf16,R01,0.002939952537417412,4.352070391178131e-06,0.015625,True
fc2,64,768,3072,bf16,R02,0.002880607731640339,4.2514875531196594e-06,0.015625,True
fc2,64,768,3072,bf16,R03,0.0028292916249483824,4.007481038570404e-06,0.015625,True
fc2,64,768,3072,bf16,R04,0.0029248660430312157,4.266388714313507e-06,0.015625,True
fc2,64,768,3072,native_int4,R01,0.0,2.3283064365386963e-08,0.0,True
fc2,64,768,3072,native_int4,R02,0.0,2.60770320892334e-08,0.0,True
fc2,64,768,3072,native_int4,R03,0.0,2.514570951461792e-08,0.0,True
fc2,64,768,3072,native_int4,R04,0.0,1.30385160446167e-08,0.0,True
fc2,64,768,3072,packed_int4,R01,0.00022399716544896364,8.009374141693115e-08,0.015625,True
fc2,64,768,3072,packed_int4,R02,0.0001307105558225885,3.632158041000366e-08,0.0078125,True
fc2,64,768,3072,packed_int4,R03,8.853722829371691e-05,2.7008354663848877e-08,0.0078125,True
fc2,64,768,3072,packed_int4,R04,8.048849849728867e-05,1.0244548320770264e-08,0.00390625,True
fc2,64,768,3072,dequant_only,R01,0.0,2.359350581571107e-08,0.0,True
fc2,64,768,3072,dequant_only,R02,0.0,2.359350581571107e-08,0.0,True
fc2,64,768,3072,dequant_only,R03,0.0,2.359350581571107e-08,0.0,True
fc2,64,768,3072,dequant_only,R04,0.0,2.359350581571107e-08,0.0,True
fc2,64,768,3072,predequant_gemm,R01,0.00022399716544896364,8.009374141693115e-08,0.015625,True
fc2,64,768,3072,predequant_gemm,R02,0.0001307105558225885,3.632158041000366e-08,0.0078125,True
fc2,64,768,3072,predequant_gemm,R03,8.853722829371691e-05,2.7008354663848877e-08,0.0078125,True
fc2,64,768,3072,predequant_gemm,R04,8.048849849728867e-05,1.0244548320770264e-08,0.00390625,True
fc2,64,768,3072,fused_int4,R01,0.0002222998155048117,7.916241884231567e-08,0.015625,True
fc2,64,768,3072,fused_int4,R02,0.0001603213167982176,4.0046870708465576e-08,0.0078125,True
fc2,64,768,3072,fused_int4,R03,8.811011502984911e-05,2.7008354663848877e-08,0.0078125,True
fc2,64,768,3072,fused_int4,R04,8.048849849728867e-05,1.0244548320770264e-08,0.00390625,True
fc2,325,768,3072,bf16,R01,0.0,1.9256885863683237e-08,0.0,True
fc2,325,768,3072,bf16,R02,0.0,2.2741463823194863e-08,0.0,True
fc2,325,768,3072,bf16,R03,0.0,2.2374667452140784e-08,0.0,True
fc2,325,768,3072,bf16,R04,0.0,2.2374667452140784e-08,0.0,True
fc2,325,768,3072,native_int4,R01,0.0,1.85232895688614e-08,0.0,True
fc2,325,768,3072,native_int4,R02,0.0,2.0540678491443032e-08,0.0,True
fc2,325,768,3072,native_int4,R03,0.0,2.4392054598365576e-08,0.0,True
fc2,325,768,3072,native_int4,R04,0.0,1.632250246075273e-08,0.0,True
fc2,325,768,3072,packed_int4,R01,0.0,1.870668775438844e-08,0.0,True
fc2,325,768,3072,packed_int4,R02,0.0,2.0540678491443032e-08,0.0,True
fc2,325,768,3072,packed_int4,R03,0.0,2.4758852745776494e-08,0.0,True
fc2,325,768,3072,packed_int4,R04,0.0,1.7056098755574567e-08,0.0,True
fc2,325,768,3072,dequant_only,R01,0.0,2.359350581571107e-08,0.0,True
fc2,325,768,3072,dequant_only,R02,0.0,2.359350581571107e-08,0.0,True
fc2,325,768,3072,dequant_only,R03,0.0,2.359350581571107e-08,0.0,True
fc2,325,768,3072,dequant_only,R04,0.0,2.359350581571107e-08,0.0,True
fc2,325,768,3072,predequant_gemm,R01,0.0,1.870668775438844e-08,0.0,True
fc2,325,768,3072,predequant_gemm,R02,0.0,2.0540678491443032e-08,0.0,True
fc2,325,768,3072,predequant_gemm,R03,0.0,2.4758852745776494e-08,0.0,True
fc2,325,768,3072,predequant_gemm,R04,0.0,1.7056098755574567e-08,0.0,True
fc2,325,768,3072,fused_int4,R01,0.00012528141087386757,3.209481036492434e-08,0.015625,True
fc2,325,768,3072,fused_int4,R02,0.00016490589769091457,3.209481036492434e-08,0.015625,True
fc2,325,768,3072,fused_int4,R03,9.331883484264836e-05,2.604264537353629e-08,0.0078125,True
fc2,325,768,3072,fused_int4,R04,8.375985635211691e-05,1.7239496941101606e-08,0.0078125,True
